#Table1
objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237670964308279421,5935,301,2,105,125,6,132.370209962424,11.6689294731127,17.60258,15.83339,15.18225,14.92616,14.80413,0.01002676,0.003549431,0.00345266,0.003622282,0.004411752
1237670964308279422,5935,301,2,105,126,6,132.370355734619,11.6700973947656,23.64716,23.24645,21.86543,20.33592,19.47235,0.6334518,0.2289708,0.1116508,0.04319308,0.06913514
1237670964308279437,5935,301,2,105,141,6,132.392393874661,11.6763376510294,18.99611,16.80555,15.93998,15.63755,15.49788,0.02086051,0.004151196,0.003713162,0.003927261,0.005347157
1237670964308279442,5935,301,2,105,146,6,132.411064868245,11.6184545523724,15.12702,14.05482,13.37611,14.13152,13.21189,0.004689313,0.00388249,0.003476952,0.01093038,0.00434195
1237670964308279443,5935,301,2,105,147,6,132.412754913563,11.6133582775289,19.58028,17.68975,16.94944,16.61852,16.41469,0.02900525,0.005306911,0.004672532,0.004803439,0.007781657
1237670964308279444,5935,301,2,105,148,3,132.411356041408,11.6157540778778,21.90551,22.15855,17.67778,17.06158,19.4926,1.103221,0.6241169,0.02439015,0.01958524,0.5404441
1237670964308279598,5935,301,2,105,302,6,132.376544346907,11.6479379410345,21.37188,18.69906,17.42194,16.93341,16.64764,0.101973,0.008098887,0.00537363,0.005157154,0.008754021
1237670964308279601,5935,301,2,105,305,6,132.385423464525,11.6349595151394,23.656,20.14505,18.73503,17.67695,17.05824,0.6014585,0.01817862,0.009917949,0.006902349,0.0110494
1237670964308279602,5935,301,2,105,306,6,132.386696575041,11.6365239206184,23.49109,21.35962,19.87967,18.8549,18.2528,0.555878,0.04304853,0.02072186,0.01341529,0.02456889
1237670964308279603,5935,301,2,105,307,6,132.386470532161,11.6382337505205,24.65913,24.60715,22.56889,21.76546,21.16166,0.870912,0.5137759,0.1899433,0.1383097,0.2805094
1237670964308279604,5935,301,2,105,308,6,132.386978232331,11.6375149022338,21.8918,24.35632,24.63362,25.23691,23.36567,0.157314,0.4454875,0.7002706,0.52319,0.5674596
1237670964308279605,5935,301,2,105,309,6,132.385701850484,11.6374828524263,22.33864,24.79874,25.08072,23.91829,22.74441,0.2276037,0.5299402,0.682957,0.6523449,0.6383847
1237670964308279606,5935,301,2,105,310,6,132.38820778444,11.6381833883402,22.63585,24.7244,25.13625,24.41248,22.68159,0.2900899,0.5272783,0.6697546,0.7043962,0.6408058
1237670964308279607,5935,301,2,105,311,3,132.384308846887,11.6368838855315,22.01595,24.98008,24.65846,23.77046,23.61745,0.2355288,0.8188013,1.045433,0.9429799,0.7646948
1237670964308279612,5935,301,2,105,316,3,132.403396414439,11.6173295962099,20.53201,19.3653,18.75064,18.36561,18.08029,0.06870742,0.01304997,0.01162009,0.01202305,0.02950899
1237670964308279614,5935,301,2,105,318,3,132.381058517957,11.6975432308275,20.31311,19.04183,18.45985,18.11531,17.88161,0.07982153,0.01277491,0.01177208,0.01282657,0.03439417
1237670964308279615,5935,301,2,105,319,3,132.379433049476,11.6979735041135,21.27222,20.48522,20.05565,19.74914,19.63587,0.109312,0.02520555,0.02605096,0.02875995,0.08755835
1237670964308279616,5935,301,2,105,320,3,132.37848336621,11.6951841449915,24.07854,22.40969,21.28623,21.02196,21.45515,0.9750722,0.1275605,0.07780706,0.09286955,0.4601512
1237670964308279617,5935,301,2,105,321,6,132.379112957701,11.7001671875532,24.84716,23.83728,23.8044,22.56467,22.89881,0.9203004,0.3517164,0.5267357,0.2847104,0.6795927
1237670964308279624,5935,301,2,105,328,6,132.38428439644,11.6983875074848,22.51258,20.18875,18.74825,17.93504,17.46378,0.2683336,0.01908216,0.009980821,0.007877112,0.01432375
1237670964308279625,5935,301,2,105,329,6,132.386070855238,11.6979436295341,25.69482,25.24532,24.12621,22.28377,22.4615,0.5454659,0.5544325,0.5923109,0.2101799,0.6125752
1237670964308279800,5935,301,2,105,504,3,132.379407748158,11.6354621948954,21.72883,25.56335,26.21141,25.44609,23.33057,0.2076297,0.8479996,0.6064773,0.7988134,1.005584
1237670964308279801,5935,301,2,105,505,6,132.39270170183,11.5952225342098,22.47291,25.13336,24.99173,25.54063,24.25908,0.246096,0.5397169,0.6898001,0.4248036,0.3156821
1237670964308279804,5935,301,2,105,508,6,132.398487495889,11.6077270082218,22.33728,24.94427,24.80798,24.8979,22.22054,0.2197863,0.5374201,0.7056752,0.6266909,0.556838
1237670964308279805,5935,301,2,105,509,3,132.395773092398,11.6154861392705,22.64781,24.32331,26.0159,25.21247,22.41828,0.2869954,0.4306612,0.4087993,0.5317652,0.6021417
1237670964308279806,5935,301,2,105,510,3,132.392269699987,11.6390465074031,22.03492,22.96995,23.14551,21.6735,21.96047,0.414041,0.4167368,0.8033038,0.339323,1.368731
1237670964308279807,5935,301,2,105,511,6,132.400875807831,11.6062983243045,22.44392,26.20381,24.87641,23.91728,22.94911,0.2421533,0.3438158,0.6991338,0.6529872,0.6359417
1237670964308279808,5935,301,2,105,512,3,132.389986588093,11.6616954673195,22.01585,21.35396,20.5654,20.24402,20.16084,0.2223551,0.05538889,0.04452537,0.05008398,0.1641204
1237670964308279809,5935,301,2,105,513,3,132.388266611916,11.6789267237093,21.6596,21.03961,20.45239,20.03436,20.25976,0.1724246,0.04545438,0.04353973,0.04473122,0.1938971
1237670964308279811,5935,301,2,105,515,3,132.401938296568,11.641910065786,21.79684,25.72531,26.2085,24.9585,22.9905,0.1927606,0.6805999,0.5174428,0.9082448,0.9403279
1237670964308279812,5935,301,2,105,516,6,132.412375326805,11.6066415551127,22.49691,25.56297,24.76222,24.05924,23.34358,0.253108,0.4963747,0.6958326,0.6803688,0.5728179
1237670964308279814,5935,301,2,105,518,6,132.403976610238,11.6424653978954,21.88563,25.16817,24.32256,23.37993,22.15709,0.1557087,0.549695,0.641174,0.4916592,0.5401632
1237670964308279816,5935,301,2,105,520,6,132.416849906458,11.6018608933533,22.46376,24.61827,24.94721,24.81739,23.13733,0.2425861,0.4963005,0.6907519,0.646503,0.6141013
1237670964308280061,5935,301,2,105,765,3,132.384809542502,11.6186424322383,22.51186,22.48802,21.81876,21.14833,20.91733,0.3016315,0.1279403,0.1169256,0.09679855,0.2746738
1237670964308280066,5935,301,2,105,770,3,132.376275459418,11.6519915268745,25.49528,21.47763,20.17273,19.62623,19.31853,0.8627924,0.06081687,0.0320891,0.02954897,0.07712381
1237670964308280068,5935,301,2,105,772,3,132.38731705694,11.6214420032893,22.3223,22.08627,21.27192,21.06619,20.2766,0.2869686,0.1044244,0.08381712,0.1098903,0.1856399
1237670964308280071,5935,301,2,105,775,3,132.382827110615,11.6412745292706,22.11044,21.76476,20.91855,20.63087,20.69325,0.3553921,0.1150372,0.08956975,0.1061608,0.3985474
1237670964308280073,5935,301,2,105,777,6,132.3876106276,11.6328016105023,24.30968,21.55547,20.238,19.05939,18.37256,0.8248662,0.05018316,0.02693785,0.01529578,0.02691055
1237670964308280075,5935,301,2,105,779,3,132.384474372771,11.6503579555201,24.09826,22.76305,23.86283,22.4875,21.75783,0.8990806,0.1617302,0.6292095,0.3134439,0.5307285
1237670964308280076,5935,301,2,105,780,6,132.401167421046,11.5942697154054,25.27226,21.53481,20.18036,19.5532,19.05122,0.6877466,0.04806936,0.02561439,0.02151128,0.04521937
1237670964308280077,5935,301,2,105,781,3,132.374510518217,11.6873283587521,24.81188,22.81843,22.00655,21.94538,21.16644,1.087125,0.1804558,0.14457,0.2054843,0.3566981
