objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1.23767096430828E+018,5935,301,2,105,125,6,132.370209962424,11.6689294731127,17.60258,15.83339,15.18225,14.92616,14.80413,0.01002676,0.003549431,0.00345266,0.003622282,0.004411752
1.23767096430828E+018,5935,301,2,105,126,6,132.370355734619,11.6700973947656,23.64716,23.24645,21.86543,20.33592,19.47235,0.6334518,0.2289708,0.1116508,0.04319308,0.06913514
1.23767096430828E+018,5935,301,2,105,141,6,132.392393874661,11.6763376510294,18.99611,16.80555,15.93998,15.63755,15.49788,0.02086051,0.004151196,0.003713162,0.003927261,0.005347157
1.23767096430828E+018,5935,301,2,105,146,6,132.411064868245,11.6184545523724,15.12702,14.05482,13.37611,14.13152,13.21189,0.004689313,0.00388249,0.003476952,0.01093038,0.00434195
1.23767096430828E+018,5935,301,2,105,147,6,132.412754913563,11.6133582775289,19.58028,17.68975,16.94944,16.61852,16.41469,0.02900525,0.005306911,0.004672532,0.004803439,0.007781657
1.23767096430828E+018,5935,301,2,105,302,6,132.376544346907,11.6479379410345,21.37188,18.69906,17.42194,16.93341,16.64764,0.101973,0.008098887,0.00537363,0.005157154,0.008754021
1.23767096430828E+018,5935,301,2,105,305,6,132.385423464525,11.6349595151394,23.656,20.14505,18.73503,17.67695,17.05824,0.6014585,0.01817862,0.009917949,0.006902349,0.0110494
1.23767096430828E+018,5935,301,2,105,306,6,132.386696575041,11.6365239206184,23.49109,21.35962,19.87967,18.8549,18.2528,0.555878,0.04304853,0.02072186,0.01341529,0.02456889
1.23767096430828E+018,5935,301,2,105,307,6,132.386470532161,11.6382337505205,24.65913,24.60715,22.56889,21.76546,21.16166,0.870912,0.5137759,0.1899433,0.1383097,0.2805094
1.23767096430828E+018,5935,301,2,105,308,6,132.386978232331,11.6375149022338,21.8918,24.35632,24.63362,25.23691,23.36567,0.157314,0.4454875,0.7002706,0.52319,0.5674596
1.23767096430828E+018,5935,301,2,105,309,6,132.385701850484,11.6374828524263,22.33864,24.79874,25.08072,23.91829,22.74441,0.2276037,0.5299402,0.682957,0.6523449,0.6383847
1.23767096430828E+018,5935,301,2,105,310,6,132.38820778444,11.6381833883402,22.63585,24.7244,25.13625,24.41248,22.68159,0.2900899,0.5272783,0.6697546,0.7043962,0.6408058
1.23767096430828E+018,5935,301,2,105,321,6,132.379112957701,11.7001671875532,24.84716,23.83728,23.8044,22.56467,22.89881,0.9203004,0.3517164,0.5267357,0.2847104,0.6795927
1.23767096430828E+018,5935,301,2,105,328,6,132.38428439644,11.6983875074848,22.51258,20.18875,18.74825,17.93504,17.46378,0.2683336,0.01908216,0.009980821,0.007877112,0.01432375
1.23767096430828E+018,5935,301,2,105,329,6,132.386070855238,11.6979436295341,25.69482,25.24532,24.12621,22.28377,22.4615,0.5454659,0.5544325,0.5923109,0.2101799,0.6125752
